SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
08/12/26 ter;0,00%; 5,38 ;1.452.208,30 ; 276,63 ; 135.584,51 ; 1.452.484,93 ; 605.818,78 ; 7.051.148,22 ; 7.814.078,42 ; 762.930,21 ; 2.302,11 ; 201.939,59 ; -   ; -   ;;;;;;;;;;;;;;
09/12/26 qua;0,00%; 5,38 ;1.452.484,93 ; 276,68 ; 135.861,20 ; 1.452.761,61 ; 607.307,27 ; 7.052.636,71 ; 7.815.566,92 ; 762.930,21 ; 2.307,77 ; 202.435,76 ; -   ; -   ;;;;;;;;;;;;;;
10/12/26 qui;0,00%; 5,38 ;1.452.761,61 ; 276,73 ; 136.137,93 ; 1.453.038,35 ; 608.796,05 ; 7.054.125,49 ; 7.817.055,70 ; 762.930,21 ; 2.313,42 ; 202.932,02 ; -   ; -   ;;;;;;;;;;;;;;
11/12/26 sex;0,00%; 5,38 ;1.453.038,35 ; 276,79 ; 136.414,72 ; 1.453.315,13 ; 610.285,11 ; 7.055.614,55 ; 7.818.544,76 ; 762.930,21 ; 2.319,08 ; 203.428,37 ; -   ; -   ;;;;;;;;;;;;;;
12/12/26 sáb;0,00%; 5,38 ;1.453.315,13 ; 276,84 ; 136.691,56 ; 1.453.591,97 ; 611.774,46 ; 7.057.103,90 ; 7.820.034,10 ; 762.930,21 ; 2.324,74 ; 203.924,82 ; -   ; -   ;;;;;;;;;;;;;;
13/12/26 dom;0,00%; 5,38 ;1.453.591,97 ; 276,89 ; 136.968,45 ; 1.453.868,87 ; 613.264,09 ; 7.058.593,53 ; 7.821.523,73 ; 762.930,21 ; 2.330,40 ; 204.421,36 ; -   ; -   ;;;;;;;;;;;;;;
14/12/26 seg;0,00%; 5,38 ;1.453.868,87 ; 276,95 ; 137.245,40 ; 1.454.145,81 ; 614.754,00 ; 7.060.083,44 ; 7.823.013,65 ; 762.930,21 ; 2.336,07 ; 204.918,00 ; -   ; -   ;;;;;;;;;;;;;;
15/12/26 ter;0,00%; 5,38 ;1.454.145,81 ; 277,00 ; 137.522,40 ; 1.454.422,81 ; 616.244,19 ; 7.061.573,64 ; 7.824.503,84 ; 762.930,21 ; 2.341,73 ; 205.414,73 ; -   ; -   ;;;;;;;;;;;;;;
16/12/26 qua;0,00%; 5,38 ;1.454.422,81 ; 277,05 ; 137.799,45 ; 1.454.699,86 ; 617.734,68 ; 7.063.064,12 ; 7.825.994,32 ; 762.930,21 ; 2.347,39 ; 205.911,56 ; -   ; -   ;;;;;;;;;;;;;;
17/12/26 qui;0,00%; 5,38 ;1.454.699,86 ; 277,10 ; 138.076,55 ; 1.454.976,97 ; 619.225,44 ; 7.064.554,88 ; 7.827.485,09 ; 762.930,21 ; 2.353,06 ; 206.408,48 ; -   ; -   ;;;;;;;;;;;;;;
18/12/26 sex;0,00%; 5,38 ;1.454.976,97 ; 277,16 ; 138.353,71 ; 1.455.254,12 ; 620.716,49 ; 7.066.045,93 ; 7.828.976,14 ; 762.930,21 ; 2.358,72 ; 206.905,50 ; -   ; -   ;;;;;;;;;;;;;;
19/12/26 sáb;0,00%; 5,38 ;1.455.254,12 ; 277,21 ; 138.630,92 ; 1.455.531,33 ; 622.207,82 ; 7.067.537,26 ; 7.830.467,47 ; 762.930,21 ; 2.364,39 ; 207.402,61 ; -   ; -   ;;;;;;;;;;;;;;
20/12/26 dom;0,00%; 5,38 ;1.455.531,33 ; 277,26 ; 138.908,18 ; 1.455.808,60 ; 623.699,44 ; 7.069.028,88 ; 7.831.959,08 ; 762.930,21 ; 2.370,06 ; 207.899,81 ; -   ; -   ;;;;;;;;;;;;;;
21/12/26 seg;0,00%; 5,38 ;1.455.808,60 ; 277,32 ; 139.185,50 ; 1.456.085,91 ; 625.191,34 ; 7.070.520,78 ; 7.833.450,99 ; 762.930,21 ; 2.375,73 ; 208.397,11 ; -   ; -   ;;;;;;;;;;;;;;
22/12/26 ter;0,00%; 5,38 ;1.456.085,91 ; 277,37 ; 139.462,86 ; 1.456.363,28 ; 626.683,52 ; 7.072.012,96 ; 7.834.943,17 ; 762.930,21 ; 2.381,40 ; 208.894,51 ; -   ; -   ;;;;;;;;;;;;;;
23/12/26 qua;0,00%; 5,38 ;1.456.363,28 ; 277,42 ; 139.740,29 ; 1.456.640,70 ; 628.175,99 ; 7.073.505,43 ; 7.836.435,64 ; 762.930,21 ; 2.387,07 ; 209.392,00 ; -   ; -   ;;;;;;;;;;;;;;
24/12/26 qui;0,00%; 5,38 ;1.456.640,70 ; 277,47 ; 140.017,76 ; 1.456.918,17 ; 629.668,75 ; 7.074.998,19 ; 7.837.928,39 ; 762.930,21 ; 2.392,74 ; 209.889,58 ; -   ; -   ;;;;;;;;;;;;;;
25/12/26 sex;0,00%; 5,38 ;1.456.918,17 ; 277,53 ; 140.295,29 ; 1.457.195,70 ; 631.161,78 ; 7.076.491,23 ; 7.839.421,43 ; 762.930,21 ; 2.398,41 ; 210.387,26 ; -   ; -   ;;;;;;;;;;;;;;
26/12/26 sáb;0,00%; 5,38 ;1.457.195,70 ; 277,58 ; 140.572,87 ; 1.457.473,28 ; 632.655,11 ; 7.077.984,55 ; 7.840.914,75 ; 762.930,21 ; 2.404,09 ; 210.885,04 ; -   ; -   ;;;;;;;;;;;;;;
27/12/26 dom;0,00%; 5,38 ;1.457.473,28 ; 277,63 ; 140.850,50 ; 1.457.750,91 ; 634.148,71 ; 7.079.478,15 ; 7.842.408,36 ; 762.930,21 ; 2.409,77 ; 211.382,90 ; -   ; -   ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;28530,22;;;;;;;;;;;;;;;
;;;;-2.920.521,87 ;;;;;;;;; 6,08 ;;;;;;;;;;;;;;;
